# 
#-----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder 
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/18315
# Online_Resource: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/khider2011/khider2011.txt 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Paleoceanography
#--------------------
# Contribution_Date
#    Date: 2015-03-31 
#--------------------
# Title
#     Study_Name: Makassar Strait - Single specimens of P. obliquiloculata d18O and d13C from 704-1851 AD
#--------------------
# Investigators
#      Investigators: Khider, D.; Stott, L.D.; Emile-Geay, J.; Thunell, R.; Hammond D.E.
#--------------------
# Description_Notes_and_Keywords
#     Description: This dataset contains the d18O, d13C, and weights of single specimens of P. obliquiloculata used in the reconstruction of ENSO variability over the past 2,000 years"
#--------------------
# Publication
#     Authors:  Khider, D., L. Stott, J. Emile-Geay, R. Thunell, and D.E. Hammond
#     Published_Date: 2011-09-15
#     Published_Title:  Assessing El Nino Southern Oscillation variability during the past millennium
#     Journal_Name: Paleoceanography
#     Volume:  26
#     Report_Number:  PA3222
#     DOI: 10.1029/2011PA002139
#     Abstract:  We present a reconstruction of El Nino Southern Oscillation (ENSO) variability spanning the Medieval Climate Anomaly (MCA, A.D. 800-1300) and the Little Ice Age (LIA, A.D. 1500-1850). Changes in ENSO are estimated by comparing the spread and symmetry of d18O values of individual speciments of the thermocline-dwelling foraminifer Pulleniatina obliquiloculata extracted from discrete time horizons of a sediment core collected in the Sulawesi Sea, at the edge of the western tropical Pacific warm pool. The spread of individual d18O values is interpreted to be a measure of the strength of both phases of ENSO while the symmetry of the d18O distributions is used to evaluate the relative strength/frequency of El Nino and La Nina events. In contrast to previous studies, we use robust and resistant statistics to quantify the spread and symmetry of the d18O distributions; an approach motivated by the relatively small sample size and the presence of outliers. Furthermore, we use a pseudo-proxy to investigate the effects of the different paleo-environmental factors on the statistics of the d18O distributions, which could bias the paleo-ENSO reconstruction. We find no systematic difference in the magnitude/strength of ENSO during the Nothern Hemisphere MCA or LIA. However, our results suggest that ENSO during the MCA was kewed toward stronger/more frequent La Nina than El Nino, an observation consistent with the medieval megadroughts documented from sites in western North America.
#------------------
# Funding_Agency
#     Funding_Agency_Name:  National Science Foundation
#     Grant: ATM0902507, EAR1048577, and EAR0825325
#------------------
# Site_Information
#   Site_Name: MD98-2177
#   Location: Western Pacific Ocean
#   Northernmost_Latitude:  1.4
#   Southernmost_Latitude:  1.4
#   Easternmost_Longitude:  119.078
#   Westernmost_Longitude:  119.078
#   Elevation:   -968 
#------------------
# Data_Collection
#   Collection_Name:  MD98-2177 isotopes Khider11
#   Earliest_Year:  704
#   Most_Recent_Year: 1851 
#   Time_Unit:  years AD
#   Notes:
#------------------
# Chronology:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
#   Depth      	Mid-Depth of the interval (cm)
#   14C.raw  	Conventional Radiocarbon age, years before 1950
#   14C.raw_err	radiocrabon age, standard error
#   Labcode		sample identification used by 14C laboratory
#   Calib.14C   	Calibrated Age
#   Calib_14C_sigma 	1-sigma error on calibrated age
#   calib_method		Calibration method
#   reservoir 	Reservoir correction
#   Reservoir_err	Reservoir correction error
Depth   14C.raw 14C.raw_err     Labcode Calib.14C       Calib_14C_sigma calib_method    reservoir       Reservoir_err
0       580     45      CAMS-95299      98      51      CALIB6.0        74      70
12      395     90      OS-38302        >modern        N/A     CALIB6.0        74      70
50      1110    60      CAMS-1000234    600     69.5    CALIB6.0        74      70
94      1745    45      CAMS-100235     1220    82.5    CALIB6.0        74      70
109     1870    110     OS-38335        1366    135.5   CALIB6.0        74      70
130     2260    45      CAMS-100236     1782    100.5   CALIB6.0        74      70
#----------------
# Variables
#
# Data variables follow are preceded by "##" in columns one and two.
#
## depth_top	depth,top of sample,,cm,,,,,N
## depth_bottom	    depth,bottom of sample,,cm,,,,,N
## age_ADbot  age,bottom of sample ,, years AD,, ,,,N
## age_ADtop  age,top of sample ,, years AD,, ,,,N
## d13CcarbVPDB		delta 13C,calcium carbonate,, per mil VPDB,,paleoceanography,,,N
## d18OcarbVPDB		delta 18O,calcium carbonate,, per mil VPDB,,paleoceanography,,,N
## wgt-ind	weight,individuals analyzed,, micro-grams,,paleoceanography,,,N
#
#----------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NaN
depth_top	depth_bottom	age_ADbot	age_ADtop	d13CcarbVPDB	d18OcarbVPDB	wgt-ind
0	1	1843	1851	0.936	-2.254	34
0	1	1843	1851	0.895	-2.356	37
0	1	1843	1851	0.514	-2.63	20
0	1	1843	1851	0.9	-2.48	25
0	1	1843	1851	0.957	-2.094	29
0	1	1843	1851	0.754	-2.664	28
0	1	1843	1851	1.023	-2.147	19
0	1	1843	1851	0.844	-1.862	13
0	1	1843	1851	1.027	-2.202	35
0	1	1843	1851	0.376	-2.012	18
0	1	1843	1851	2.111	-2.043	29
0	1	1843	1851	0.441	-2.198	25
0	1	1843	1851	1.027	-2.374	26
0	1	1843	1851	0.702	-2.339	24
0	1	1843	1851	1.086	-2.239	23
0	1	1843	1851	0.814	-2.307	13
0	1	1843	1851	0.597	-2.589	24
0	1	1843	1851	1.077	-2.61	25
0	1	1843	1851	0.936	-2.363	26
0	1	1843	1851	1.114	-2.04	33
0	1	1843	1851	0.803	-1.811	16
0	1	1843	1851	0.92	-1.815	14
0	1	1843	1851	0.804	-2.203	12
0	1	1843	1851	0.797	-2.09	12
0	1	1843	1851	0.678	-2.498	32
0	1	1843	1851	0.71	-2.263	20
0	1	1843	1851	0.456	-2.251	12
0	1	1843	1851	0.776	-1.939	16
0	1	1843	1851	0.747	-2.397	24
0	1	1843	1851	0.728	-2.433	22
0	1	1843	1851	0.606	-2.538	26
0	1	1843	1851	0.966	-1.697	15
0	1	1843	1851	0.352	-2.058	18
0	1	1843	1851	0.933	-2.163	18
0	1	1843	1851	0.828	-2.097	11
0	1	1843	1851	1.078	-1.835	31
0	1	1843	1851	0.813	-2.386	15
0	1	1843	1851	0.554	-2.458	28
0	1	1843	1851	0.628	-2.067	19
0	1	1843	1851	0.815	-1.955	31
0	1	1843	1851	-0.437	-2.416	12
0	1	1843	1851	0.589	-2.865	9
0	1	1843	1851	0.244	-2.865	15
0	1	1843	1851	0.766	-1.825	14
0	1	1843	1851	0.865	-2.249	14
0	1	1843	1851	0.847	-2.14	23
0	1	1843	1851	0.534	-1.666	14
0	1	1843	1851	0.548	-2.32	15
0	1	1843	1851	0.72	-2.073	15
0	1	1843	1851	0.451	-2.194	12
0	1	1843	1851	0.682	-1.915	13
0	1	1843	1851	0.387	-2.553	11
0	1	1843	1851	0.728	-1.984	20
0	1	1843	1851	0.723	-2.277	16
0	1	1843	1851	0.453	-2.7	20
0	1	1843	1851	0.868	-2.345	27
0	1	1843	1851	0.951	-2.157	17
0	1	1843	1851	0.945	-1.889	15
0	1	1843	1851	0.888	-2.191	24
0	1	1843	1851	0.454	-2.719	27
0	1	1843	1851	1.089	-2.104	35
0	1	1843	1851	0.859	-2.033	14
0	1	1843	1851	0.394	-2.44	17
0	1	1843	1851	0.295	-2.293	27
0	1	1843	1851	0.252	-2.563	19
0	1	1843	1851	0.63	-2.283	25
0	1	1843	1851	0.713	-2.088	21
4	6	1800	1817	0.55	-2.555	22
4	6	1800	1817	0.874	-2.132	38
4	6	1800	1817	0.632	-2.409	29
4	6	1800	1817	1	-2.262	22
4	6	1800	1817	0.851	-2.452	29
4	6	1800	1817	1.149	-1.848	24
4	6	1800	1817	0.97	-2.196	15
4	6	1800	1817	0.405	-2.957	23
4	6	1800	1817	0.583	-1.825	18
4	6	1800	1817	0.865	-2.466	29
4	6	1800	1817	0.716	-2.159	22
4	6	1800	1817	0.603	-2.572	27
4	6	1800	1817	0.97	-2.221	16
4	6	1800	1817	0.004	-2.013	21
4	6	1800	1817	0.691	-2.369	23
4	6	1800	1817	0.743	-2.403	16
4	6	1800	1817	0.767	-2.155	12
4	6	1800	1817	0.699	-2.126	15
4	6	1800	1817	1.048	-2.125	23
4	6	1800	1817	0.585	-2.882	10
4	6	1800	1817	0.695	-2.206	23
4	6	1800	1817	0.963	-2.066	18
4	6	1800	1817	0.535	-2.292	14
4	6	1800	1817	0.543	-2.322	21
4	6	1800	1817	0.489	-2.868	18
4	6	1800	1817	0.625	-2.431	14
4	6	1800	1817	0.818	-2.538	21
4	6	1800	1817	0.604	-2.726	14
4	6	1800	1817	1.059	-1.796	20
4	6	1800	1817	0.717	-2.357	24
4	6	1800	1817	0.353	-2.869	25
4	6	1800	1817	0.875	-2.054	21
4	6	1800	1817	0.916	-1.746	19
4	6	1800	1817	0.693	-2.223	15
4	6	1800	1817	0.885	-2.418	20
4	6	1800	1817	0.856	-2.284	22
4	6	1800	1817	0.661	-2.522	17
4	6	1800	1817	0.942	-2.483	26
4	6	1800	1817	0.721	-2.259	14
4	6	1800	1817	0.693	-2.372	18
4	6	1800	1817	0.788	-1.94	21
4	6	1800	1817	0.635	-2.357	13
4	6	1800	1817	0.733	-2.424	19
4	6	1800	1817	0.938	-1.791	23
4	6	1800	1817	0.866	-2.166	31
4	6	1800	1817	0.896	-1.859	16
4	6	1800	1817	0.764	-1.86	23
4	6	1800	1817	0.861	-1.507	10
4	6	1800	1817	0.783	-2.206	28
4	6	1800	1817	0.564	-2.705	16
4	6	1800	1817	0.78	-1.68	23
4	6	1800	1817	1.079	-1.874	27
4	6	1800	1817	0.772	-2.337	30
4	6	1800	1817	1.126	-1.475	27
4	6	1800	1817	0.593	-2.505	14
4	6	1800	1817	0.721	-2.363	22
4	6	1800	1817	0.625	-2.744	28
4	6	1800	1817	0.923	-1.682	32
4	6	1800	1817	0.81	-2.249	22
4	6	1800	1817	1.113	-2.001	11
4	6	1800	1817	0.732	-2.009	15
4	6	1800	1817	0.88	-2.07	20
4	6	1800	1817	0.591	-2.383	22
4	6	1800	1817	0.74	-1.833	16
4	6	1800	1817	0.79	-2.575	22
4	6	1800	1817	0.669	-2.402	22
4	6	1800	1817	0.741	-2.289	17
4	6	1800	1817	0.827	-2.215	15
4	6	1800	1817	1.228	-1.6	20
4	6	1800	1817	0.546	-2.693	29
4	6	1800	1817	0.921	-2.18	22
4	6	1800	1817	0.496	-2.457	17
4	6	1800	1817	0.901	-2.158	32
4	6	1800	1817	0.826	-2.15	13
4	6	1800	1817	0.695	-2.632	21
4	6	1800	1817	0.787	-2.418	18
4	6	1800	1817	0.766	-2.592	18
11	13	1737	1755	1.118	-1.759	37
11	13	1737	1755	0.873	-2.085	20
11	13	1737	1755	0.742	-2.045	15
11	13	1737	1755	0.984	-2.201	20
11	13	1737	1755	1.064	-2.213	19
11	13	1737	1755	0.723	-2.767	25
11	13	1737	1755	0.953	-1.972	18
11	13	1737	1755	0.667	-2.135	13
11	13	1737	1755	1.008	-2.248	24
11	13	1737	1755	0.877	-2.27	13
11	13	1737	1755	1.033	-1.815	23
11	13	1737	1755	0.687	-2.515	11
11	13	1737	1755	0.729	-2.334	22
11	13	1737	1755	0.936	-2.047	19
11	13	1737	1755	1.072	-2.097	25
11	13	1737	1755	0.77	-2.003	23
11	13	1737	1755	0.867	-1.975	12
11	13	1737	1755	0.98	-2.594	31
11	13	1737	1755	1.068	-1.916	22
11	13	1737	1755	0.933	-2.015	16
11	13	1737	1755	0.842	-2.121	22
11	13	1737	1755	0.424	-2.782	13
11	13	1737	1755	0.686	-2.547	16
11	13	1737	1755	0.817	-1.876	13
11	13	1737	1755	0.813	-2.418	21
11	13	1737	1755	0.349	-2.482	23
11	13	1737	1755	0.562	-2.464	16
11	13	1737	1755	0.672	-2.311	23
11	13	1737	1755	0.943	-1.882	27
11	13	1737	1755	0.939	-2.406	24
11	13	1737	1755	0.686	-1.782	19
11	13	1737	1755	0.876	-1.692	20
11	13	1737	1755	0.867	-2.206	18
11	13	1737	1755	0.863	-1.727	18
11	13	1737	1755	0.884	-2.198	28
11	13	1737	1755	1.162	-1.903	23
11	13	1737	1755	0.959	-2.318	40
11	13	1737	1755	0.674	-1.999	14
11	13	1737	1755	1.02	-1.688	17
11	13	1737	1755	0.935	-1.564	17
11	13	1737	1755	0.808	-1.607	11
11	13	1737	1755	0.953	-1.379	20
11	13	1737	1755	0.231	-2.489	22
11	13	1737	1755	0.918	-1.936	17
11	13	1737	1755	0.974	-2.253	12
11	13	1737	1755	1.013	-2.161	22
11	13	1737	1755	0.892	-2.28	18
11	13	1737	1755	0.885	-2.231	11
11	13	1737	1755	0.867	-2.124	26
11	13	1737	1755	0.625	-2.428	18
11	13	1737	1755	0.546	-2.199	15
11	13	1737	1755	0.814	-1.786	15
11	13	1737	1755	0.541	-2.675	10
11	13	1737	1755	1.044	-1.989	13
11	13	1737	1755	0.791	-2.536	12
11	13	1737	1755	0.463	-2.347	21
11	13	1737	1755	0.818	-2.041	19
11	13	1737	1755	0.829	-1.389	20
11	13	1737	1755	0.972	-1.849	24
11	13	1737	1755	0.728	-2.591	34
11	13	1737	1755	0.776	-2.434	15
11	13	1737	1755	0.977	-2.144	22
11	13	1737	1755	0.357	-3.095	27
11	13	1737	1755	1.044	-1.639	20
11	13	1737	1755	1.171	-2.048	17
11	13	1737	1755	0.862	-1.484	17
11	13	1737	1755	0.71	-2.617	20
11	13	1737	1755	0.844	-2.835	22
11	13	1737	1755	0.635	-2.769	22
11	13	1737	1755	1.102	-2.107	15
11	13	1737	1755	0.594	-2.956	13
11	13	1737	1755	0.819	-0.884	18
11	13	1737	1755	0.844	-2.279	14
11	13	1737	1755	0.837	-1.545	17
11	13	1737	1755	0.894	-1.978	15
11	13	1737	1755	0.878	-2.687	13
17	19	1681	1700	1.081	-2.207	25
17	19	1681	1700	0.727	-1.779	17
17	19	1681	1700	0.826	-2.626	34
17	19	1681	1700	1.025	-1.863	18
17	19	1681	1700	0.54	-1.834	28
17	19	1681	1700	0.797	-2.672	44
17	19	1681	1700	0.691	-2.586	28
17	19	1681	1700	0.83	-2.116	33
17	19	1681	1700	1.053	-2.01	22
17	19	1681	1700	0.637	-1.964	18
17	19	1681	1700	0.861	-1.961	21
17	19	1681	1700	0.908	-2.523	35
17	19	1681	1700	0.942	-2.072	31
17	19	1681	1700	1.142	-2.05	26
17	19	1681	1700	0.519	-2.515	23
17	19	1681	1700	0.93	-1.761	19
17	19	1681	1700	1.024	-1.778	18
17	19	1681	1700	1.157	-1.667	17
17	19	1681	1700	0.843	-2.241	12
17	19	1681	1700	1.046	-1.642	13
17	19	1681	1700	1.15	-1.824	27
17	19	1681	1700	0.923	-1.855	14
17	19	1681	1700	1.001	-1.492	22
17	19	1681	1700	0.711	-2.541	23
17	19	1681	1700	0.785	-2.642	22
17	19	1681	1700	0.907	-2.578	36
17	19	1681	1700	0.557	-2.667	26
17	19	1681	1700	0.974	-2.084	25
17	19	1681	1700	0.89	-1.876	12
17	19	1681	1700	0.706	-2.582	39
17	19	1681	1700	0.893	-2.453	33
17	19	1681	1700	0.868	-1.94	22
17	19	1681	1700	0.859	-2.288	20
17	19	1681	1700	0.457	-3.153	23
17	19	1681	1700	0.82	-2.307	25
17	19	1681	1700	0.919	-2.08	25
17	19	1681	1700	1.081	-2.318	25
17	19	1681	1700	0.998	-2.519	17
17	19	1681	1700	0.817	-2.187	20
17	19	1681	1700	0.681	-2.193	19
17	19	1681	1700	0.981	-2.015	27
17	19	1681	1700	0.935	-2.09	24
17	19	1681	1700	0.836	-2.312	22
17	19	1681	1700	0.717	-1.633	18
17	19	1681	1700	0.978	-2.308	32
17	19	1681	1700	0.596	-1.959	14
17	19	1681	1700	0.887	-2.296	30
17	19	1681	1700	0.833	-2	23
17	19	1681	1700	0.88	-2.086	24
17	19	1681	1700	0.91	-1.832	24
17	19	1681	1700	1.079	-1.962	44
17	19	1681	1700	0.841	-2.073	16
17	19	1681	1700	0.826	-2.397	24
17	19	1681	1700	0.899	-1.943	22
17	19	1681	1700	1.109	-1.117	20
17	19	1681	1700	0.79	-2.263	13
17	19	1681	1700	0.723	-1.866	19
17	19	1681	1700	0.764	-2.268	21
17	19	1681	1700	0.861	-2.346	28
17	19	1681	1700	0.821	-2.149	17
17	19	1681	1700	1.016	-1.664	24
17	19	1681	1700	0.873	-2.409	26
17	19	1681	1700	0.513	-2.287	15
