"0","-52",NA,NA,NA,NA,"surface","surface_age","NA","Assumed_top_age_based_on_collection_year_(2002)"
"150",NA,NA,"90",NA,NA,"short-lived_isotopes","NA","NA","Pb-210_and_Cs-137_at_this_depth_shown_as_adjusted_age"
"150","240","30",NA,NA,NA,"14C","OS-38712","Wood","NA"
"415","920","35",NA,"915","774","14C","CAMS-91761","Wood","NA"
"595","1175","35",NA,"1170","1013","14C","CAMS-91762","Wood","NA"
"640",NA,NA,"1135","1256","1014","tephra","NA","White_River_Ash_(2-s_age_range)","Age_of_White_River_Ash_from_Clague_et_al._(1995)"
"870","1750","40",NA,"1710","1574","14C","CAMS-96825","Charcoal","NA"
"1705","4000","35",NA,"4520","4418","14C","CAMS-92155","Pollen","NA"
"2445","4800","35",NA,"5591","5485","14C","CAMS-91763","Wood","NA"
"3365","6675","50",NA,"7585","7505","14C","CAMS-92157","Pollen","NA"
