"0","0",NA,NA,"-51",NA,NA,"0","0","surface","NA","NA","Assumed_top_age_based_on_collection_year_(2001)"
"340","350","235","45",NA,"141","444","345","10","14C","Poz-801","plant_macrofossils","NA"
"820","830","1530","30",NA,"1348","1472","825","10","14C","Poz-805","plant_macrofossils","NA"
"1300","1310","2830","40",NA,"2888","2984","1305","10","14C","Poz-803","plant_macrofossils","NA"
"1780","1790","4590","45",NA,"5238","5380","1785","10","14C","Poz-802","plant_macrofossils","NA"
"2010","2020","5930","50",NA,"6658","6832","2015","10","14C","Poz-804","plant_macrofossils","NA"
"2170","2180","6880","50",NA,"7622","7740","2175","10","14C","Poz-799","plant_macrofossils","NA"
"2270","2280","7630","55",NA,"8386","8428","2275","10","14C","Poz-800","plant_macrofossils","NA"
"2410","2420","7990","55",NA,"8741","9025","2415","10","14C","Poz-806","plant_macrofossils","rejected"
"3020","3030","10070","50",NA,"11323","11885","3025","10","14C","Poz-813","plant_macrofossils","NA"
"3320","3330","10730","60",NA,"12720","13008","3325","10","14C","Poz-811","plant_macrofossils","NA"
"3540","3560","11170","60",NA,"13068","13228","3550","20","14C","Poz-1162","plant_macrofossils","NA"
