"300","305","1.15","5e-04","1.6856","0.0017","0.00232","2e-05","4","1.3","253","0.002","302.5","5","UTh","051-AB2","Speleothem_was_not_active_when_collected_youngest_date_from_top_of_sample"
"250","257","2.1","0.0022","1.657","0.00376","0.00964","1e-04","44","1.2","1053","0.007","253.5","7","UTh","050-AC3","NA"
"200","202","1.27","7e-04","1.6657","0.00201","0.01943","3e-04","69","1.6","2131","0.031","201","2","UTh","049-12K","NA"
"148","150","1.42","0.0013","1.6611","0.00404","0.03244","1e-04","48","0.7","3579","0.009","149","2","UTh","048-8G","NA"
"143","145","1.41","0.0016","1.5544","0.00391","0.03527","1e-04","76","1","3897","0.011","144","2","UTh","047-10I","NA"
"100","102","1.242","6e-04","1.6706","0.00176","0.04585","1e-04","79","1","5090","0.016","101","2","UTh","046-7F","NA"
"48","50","1.545","6e-04","1.6549","0.00162","0.06265","1e-04","158","0.6","7008","0.016","49","2","UTh","045-5D","NA"
"45","47","1.48","7e-04","1.628","0.00184","0.06471","1e-04","192","0.6","7246","0.017","46","2","UTh","044-4C","NA"
"22","24","0.963","5e-04","1.6472","0.00222","0.07269","2e-04","58","1.6","8169","0.024","23","2","UTh","043-14M","NA"
"4","6","0.911","6e-04","1.6916","0.00264","0.084","2e-04","37","0.8","9488","0.019","5","2","UTh","NA","NA"
"0","3","0.976","0.0011","1.6855","0.00404","0.08788","2e-04","36","1.5","9944","0.022","1.5","3","UTh","042-3B","NA"
"-5","0","0.968","7e-04","1.7412","0.00305","0.09185","2e-04","21","0.7","10409","0.021","-2.5","5","UTh","157-1A","NA"
